epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,3190.88,0.49758,0.2881,0.98035,0.96727,0.95872,0.98365,0.84631,0.5925,0.30905,1.03075,0.0002378,0.0002378,0.0002378
91,3226.22,0.42117,0.27401,0.97685,0.96561,0.9633,0.98002,0.833,0.60554,0.32357,1.04445,0.000218,0.000218,0.000218
92,3247.97,0.40401,0.25005,0.95772,0.95416,0.96789,0.98002,0.83759,0.59968,0.33499,1.04079,0.0001982,0.0001982,0.0001982
93,3269.59,0.39292,0.23447,0.95389,0.96565,0.95872,0.98278,0.83861,0.59392,0.32355,1.03727,0.0001784,0.0001784,0.0001784
94,3291.14,0.38886,0.23375,0.94803,0.95679,0.97248,0.98194,0.84142,0.60205,0.32507,1.0472,0.0001586,0.0001586,0.0001586
95,3312.79,0.38879,0.22994,0.93943,0.9465,0.97377,0.98419,0.84277,0.59032,0.32761,1.03398,0.0001388,0.0001388,0.0001388
96,3334.78,0.38172,0.22824,0.94339,0.95883,0.96151,0.98454,0.8437,0.59252,0.3197,1.04248,0.000119,0.000119,0.000119
97,3356.43,0.37301,0.2199,0.94122,0.94273,0.98165,0.98552,0.84464,0.59348,0.31167,1.04035,9.92e-05,9.92e-05,9.92e-05
98,3378.26,0.37285,0.22772,0.93947,0.941,0.98165,0.98574,0.84119,0.58804,0.3142,1.03344,7.94e-05,7.94e-05,7.94e-05
99,3399.97,0.36062,0.22106,0.93905,0.96979,0.95413,0.98638,0.84703,0.58083,0.31594,1.02848,5.96e-05,5.96e-05,5.96e-05
100,3421.72,0.36402,0.21867,0.93429,0.9681,0.96789,0.98569,0.84585,0.58025,0.31406,1.02827,3.98e-05,3.98e-05,3.98e-05
